Country,Dzongkhag,Gewog/Town,Gewog_Latitude,Gewog_Longitude,Total_Female,Total_Male,Total_Population
Bhutan,Bumthang,Bumthang Town,27.55522038,90.75357415,2862,3381,6243
Bhutan,Bumthang,Chhumig Town,27.55447043,90.7536053,204,189,393
Bhutan,Bumthang,Chhoekhor,27.59250159,90.72652897,1905,2042,3947
Bhutan,Bumthang,Tang,27.55925937,90.80501464,1153,1165,2318
Bhutan,Bumthang,Chhumig,27.49502939,90.6997048,1447,1748,3195
Bhutan,Bumthang,Ura,27.48815686,90.91578467,853,871,1724
Bhutan,Chhukha,Phuentholing Thromde,26.8615058,89.38380165,12606,15052,27658
Bhutan,Chhukha,Tsimasham Town,27.10519908,89.53817845,1010,1125,2135
Bhutan,Chhukha,Chhukha Town,27.05237055,89.5756062,971,871,1842
Bhutan,Chhukha,Darla Town,26.85519444,89.55912253,541,496,1037
Bhutan,Chhukha,Gedu Town,26.92696545,89.52295261,1412,1437,2849
Bhutan,Chhukha,Bjachhog,27.10710036,89.57811031,1364,1523,2887
Bhutan,Chhukha,Bongo,26.93937729,89.59060502,1905,1758,3663
Bhutan,Chhukha,Chabcha,27.19360745,89.53777992,1280,1377,2657
Bhutan,Chhukha,Darla,26.8640645,89.55404453,3706,3798,7504
Bhutan,Chhukha,Getena,26.97090427,89.73778124,428,392,820
Bhutan,Chhukha,Doongna,27.03992927,89.40084844,537,554,1091
Bhutan,Chhukha,Geling,27.1491104,89.5289626,756,853,1609
Bhutan,Chhukha,loggchina,26.95445419,89.38888527,1308,1386,2694
Bhutan,Chhukha,Maedtabkha,27.06557944,89.41463603,335,322,657
Bhutan,Chhukha,Phuentsholing,26.86028942,89.39332689,2795,2991,5786
Bhutan,Chhukha,Samphelling,26.84413327,89.42512264,1971,2106,4077
Bhutan,Dagana,Dagana Town,27.09729642,89.87366637,695,852,1547
Bhutan,Dagana,Lhamoizingkha Town,26.71403498,89.85064551,970,991,1961
Bhutan,Dagana,Dagapela Town,26.94112282,89.92279532,246,332,578
Bhutan,Dagana,Drukjeygang Town,26.97994446,90.05073712,325,250,575
Bhutan,Dagana,Sankosh Town,27.01757425,90.03931067,27,25,52
Bhutan,Dagana,Drukjegang,26.94112282,89.92279532,977,965,1942
Bhutan,Dagana,Gozhi,26.95091596,89.94473752,1251,1256,2507
Bhutan,Dagana,Kana,27.01854774,89.94555253,1239,1271,2510
Bhutan,Dagana,Khebisa,26.94926362,89.98410652,618,597,1215
Bhutan,Dagana,Lajab,27.09122741,90.03194877,389,454,843
Bhutan,Dagana,Tseza,27.09540376,89.86044465,541,554,1095
Bhutan,Dagana,Tsangkha,27.04148694,90.03777101,817,838,1655
Bhutan,Dagana,Karmaling,26.79790864,89.86485572,539,785,1324
Bhutan,Dagana,Dorona,26.90649913,89.85759008,337,415,752
Bhutan,Dagana,Gesarling,26.91541686,89.8978807,730,933,1663
Bhutan,Dagana,Lhamoi Dzhingkha,26.71403498,89.85064551,364,432,796
Bhutan,Dagana,Nichula,26.75334803,89.90557874,192,242,434
Bhutan,Dagana,Tashiding,26.93795067,90.00443669,844,843,1687
Bhutan,Dagana,Tsenda-Gang,26.93342728,89.95748457,908,221,1129
Bhutan,Gasa,Gasa Town,27.89812294,89.73021251,297,482,779
Bhutan,Gasa,Damji Town,27.80974741,89.72802398,274,331,605
Bhutan,Gasa,Khamaed,27.81019141,89.72993338,264,232,496
Bhutan,Gasa,Lunana,28.06105422,90.12647884,351,348,699
Bhutan,Gasa,Khatoed,27.89909933,89.72873874,166,150,316
Bhutan,Gasa,Laya,28.07402996,89.69009427,496,579,1075
Bhutan,Haa,HaaTown,27.38859456,89.28356538,1177,1419,2596
Bhutan,Haa,Jyenkhana,27.31204777,89.31686056,241,261,502
Bhutan,Haa,Bji,27.41288928,89.23765616,1611,1710,3321
Bhutan,Haa,Kar-tshog,27.3922504,89.27690935,688,794,1482
Bhutan,Haa,Uesu,27.3519731,89.31034564,1024,1527,2551
Bhutan,Haa,Gakiling,27.35505464,89.30760329,549,743,1292
Bhutan,Haa,Samar,27.29233801,89.31157018,491,509,1000
Bhutan,Haa,Sangbay,27.17071013,89.1062456,439,472,911
Bhutan,Lhuentse,Lhuentse Town,27.66499807,91.17696531,603,897,1500
Bhutan,Lhuentse,Autsho Town,27.44338771,91.17491698,389,386,775
Bhutan,Lhuentse,Gangzur,27.67759879,91.18510844,1121,1141,2262
Bhutan,Lhuentse,Khoma,27.68802059,91.22554465,770,731,1501
Bhutan,Lhuentse,Kurtoed,27.82984072,91.12029539,361,379,740
Bhutan,Lhuentse,Minjey,27.60100677,91.23346373,716,714,1430
Bhutan,Lhuentse,Jarey,27.45405238,91.12699798,514,494,1008
Bhutan,Lhuentse,Menbi,27.59485529,91.19460063,1150,1191,2341
Bhutan,Lhuentse,Medtsho,27.54990028,91.12739605,475,470,945
Bhutan,Lhuentse,Tsenkhar,27.48058054,91.18143517,931,1004,1935
Bhutan,Mongar,Gyalposhing Town,27.23047955,91.19877945,1255,1374,2629
Bhutan,Mongar,Kilikhar Town,27.33171547,91.23249482,275,290,565
Bhutan,Mongar,MongarTown,27.27710931,91.23637919,2151,2301,4452
Bhutan,Mongar,Yadi Town,27.28581192,91.37239204,370,360,730
Bhutan,Mongar,Lingmethang Town,27.26094211,91.18321923,440,512,952
Bhutan,Mongar,Dramedtse Town,27.31815409,91.4400523,398,580,978
Bhutan,Mongar,Balam,27.33733533,91.39337142,494,418,912
Bhutan,Mongar,Chagsakhar,27.27857527,91.36967469,1288,1206,2494
Bhutan,Mongar,Dramedtse,27.31657105,91.43870194,1033,815,1848
Bhutan,Mongar,Na-Rang,27.33593858,91.4675969,670,593,1263
Bhutan,Mongar,Ngatshang,27.2981854,91.3584422,870,775,1645
Bhutan,Mongar,Shermuhoong,27.39929345,91.35948275,830,797,1627
Bhutan,Mongar,Thang-Rong,27.23030642,91.35051291,898,717,1615
Bhutan,Mongar,Gongdue,27.04309945,91.19338352,618,616,1234
Bhutan,Mongar,Jurmed,27.12170549,91.25141239,658,589,1247
Bhutan,Mongar,Kengkhar,27.10422066,91.31723934,963,881,1844
Bhutan,Mongar,Saling,27.26047365,91.17394585,956,973,1929
Bhutan,Mongar,Silambi,27.07117769,91.11824685,723,734,1457
Bhutan,Mongar,Chhaling,27.33855693,91.23536659,721,720,1441
Bhutan,Mongar,Drepoong,27.27948,91.26872901,477,427,904
Bhutan,Mongar,Mongar,27.27803619,91.23533363,1803,1681,3484
Bhutan,Mongar,Tsakaling,27.32895044,91.21858182,542,544,1086
Bhutan,Mongar,Tsamang,27.36763866,91.17952141,488,444,932
Bhutan,Pema Gatshel,Denchi Town,27.01846945,91.39967367,113,227,340
Bhutan,Pema Gatshel,Nganglam Town,26.85074809,91.24671388,2555,2863,5418
Bhutan,Pema Gatshel,Old Pema Gatsel Town,27.04131301,91.40219764,491,547,1038
Bhutan,Pema Gatshel,Kherigonpa Town,27.05116809,91.42669096,32,29,61
