Dzongkhag,Gewog,Hospital1_per(KM),Hospital2_per(KM),Hospital3_per(KM),Female,Male,Total,,,,,,,,,,,,,,,,,,
Bumthang,CHHOEKHOR,5.2,0,0,1905,2042,3947,,,,,,,,,,,,,,,,,,
Bumthang,TANG,16.8,0,0,1153,1165,2318,,,,,,,,,,,,,,,,,,
Bumthang,CHHUMIG,21.8,0,0,1447,1748,3195,,,,,,,,,,,,,,,,,,
Bumthang,URA,44.6,0,0,853,871,1724,,,,,,,,,,,,,,,,,,
Bumthang,BHUMTHANG TOWN,1.2,0,0,2862,3381,6243,,,,,,,,,,,,,,,,,,
Bumthang,CHUMIG TOWN,1.8,0,0,204,189,393,,,,,,,,,,,,,,,,,,
Chhukha,BJAGCHHOG,44.1,7.5,87.4,1364,1523,2887,,,,,,,,,,,,,,,,,,
Chhukha,BONGO,8.7,59.1,2.8,1905,1758,3663,,,,,,,,,,,,,,,,,,
Chhukha,CHAPCHHA,70.4,23.5,114,1280,1377,2657,,,,,,,,,,,,,,,,,,
Chhukha,DARLA,10.1,59.8,51.6,3706,3798,7504,,,,,,,,,,,,,,,,,,
Chhukha,GETNANA,21.1,26.7,35.9,428,392,820,,,,,,,,,,,,,,,,,,
Chhukha,DUNGNA,18.5,15.4,18.6,537,554,1091,,,,,,,,,,,,,,,,,,
Chhukha,GELING,54.9,14.9,100.2,756,853,1609,,,,,,,,,,,,,,,,,,
Chhukha,LOGGCHINA,14.1,22.1,8.1,1308,1386,2694,,,,,,,,,,,,,,,,,,
Chhukha,DARLA TOWN,10.1,59.8,48.2,541,496,1037,,,,,,,,,,,,,,,,,,
Chhukha,MAEDTABKHA,18.7,12.6,21,335,322,657,,,,,,,,,,,,,,,,,,
Chhukha,PHUENTSHOLING,45.1,94.8,1.1,2795,2991,5786,,,,,,,,,,,,,,,,,,
Chhukha,SAMPHELING,39.9,89.5,10.8,1971,2106,4077,,,,,,,,,,,,,,,,,,
Chhukha,TSIMASHAM TOWN,50.4,3.6,93.7,1010,1125,2135,,,,,,,,,,,,,,,,,,
Chhukha,CHHUKHA TOWN,41.6,17.1,84.8,971,871,1842,,,,,,,,,,,,,,,,,,
Chhukha,GEDU,0.85,49.7,44.2,1412,1437,2849,,,,,,,,,,,,,,,,,,
DAGANA,DORONA,14,0,0,337,415,752,,,,,,,,,,,,,,,,,,
DAGANA,DRUKJIGANG,41.9,0,0,325,250,575,,,,,,,,,,,,,,,,,,
DAGANA,GESARLING,15.8,0,0,730,933,1663,,,,,,,,,,,,,,,,,,
DAGANA,GOZHI,9,0,0,1251,1256,2507,,,,,,,,,,,,,,,,,,
DAGANA,KARMALING,221,0,0,539,785,1324,,,,,,,,,,,,,,,,,,
DAGANA,KARNA,25.3,0,0,1239,1271,2510,,,,,,,,,,,,,,,,,,
DAGANA,KHEBISA,27.7,0,0,618,597,1215,,,,,,,,,,,,,,,,,,
DAGANA,LARGYAB,27.7,0,0,389,454,843,,,,,,,,,,,,,,,,,,
DAGANA,LHAMOI DZINGKHA,12.2,0,0,364,432,796,,,,,,,,,,,,,,,,,,
DAGANA,NICHULA,221,0,0,192,242,434,,,,,,,,,,,,,,,,,,
DAGANA,TASHIDING,12.2,0,0,844,843,1687,,,,,,,,,,,,,,,,,,
DAGANA,TSANGKHA,52.2,0,0,817,838,1655,,,,,,,,,,,,,,,,,,
DAGANA,TSENDAGANG,1.7,0,0,908,221,1129,,,,,,,,,,,,,,,,,,
DAGANA,TSEZA,43.7,0,0,541,554,1095,,,,,,,,,,,,,,,,,,
DAGANA,DAGANA TOWN,43.9,0,0,695,852,1547,,,,,,,,,,,,,,,,,,
DAGANA,LHAMIO DZINGKHA TOWN,12.2,0,0,970,991,1961,,,,,,,,,,,,,,,,,,
Gasa,KHAMAED,15.4,0,0,264,232,496,,,,,,,,,,,,,,,,,,
Gasa,LUNANA,57.7,0,0,351,348,699,,,,,,,,,,,,,,,,,,
Gasa,KHATOED,169,0,0,166,150,316,,,,,,,,,,,,,,,,,,
Gasa,LAYA,55.9,0,0,496,579,1075,,,,,,,,,,,,,,,,,,
Gasa,GASA TOWN,61.1,0,0,297,482,779,,,,,,,,,,,,,,,,,,
Gasa,DAMJI TOWN,47.2,0,0,274,331,605,,,,,,,,,,,,,,,,,,
Haa,BJI,6.9,0,0,1611,1710,3321,,,,,,,,,,,,,,,,,,
Haa,KARTSHOG,1.8,0,0,688,794,1482,,,,,,,,,,,,,,,,,,
Haa,UESA,5.1,0,0,1024,1527,2551,,,,,,,,,,,,,,,,,,
Haa,GAKILING,77,0,0,549,743,1292,,,,,,,,,,,,,,,,,,
Haa,SAMAR,13.2,0,0,591,509,1100,,,,,,,,,,,,,,,,,,
Haa,SANGBAY,82.2,0,0,439,472,911,,,,,,,,,,,,,,,,,,
Haa,HAA TOWN,2.7,0,0,1177,1419,2596,,,,,,,,,,,,,,,,,,
Haa,JYENKANA TOWN,11.4,0,0,241,261,502,,,,,,,,,,,,,,,,,,
Lhuentse,Gangzur,5,0,0,1121,1141,2262,,,,,,,,,,,,,,,,,,
Lhuentse,Khoma,8.4,0,0,770,731,1501,,,,,,,,,,,,,,,,,,
Lhuentse,Kurtoed,18.5,0,0,361,379,740,,,,,,,,,,,,,,,,,,
Lhuentse,Minjay,19.9,0,0,716,714,1430,,,,,,,,,,,,,,,,,,
Lhuentse,Jarey,50,0,0,514,494,1008,,,,,,,,,,,,,,,,,,
Lhuentse,Maenbi,18.1,0,0,1150,1191,2341,,,,,,,,,,,,,,,,,,
Lhuentse,Maedtsho,22,0,0,475,470,945,,,,,,,,,,,,,,,,,,
Lhuentse,Tsaenkhar,29.7,0,0,931,1004,1935,,,,,,,,,,,,,,,,,,
Lhuentse,Lhuentse Town,1.5,0,0,603,897,1500,,,,,,,,,,,,,,,,,,
Lhuentse,Autsho Town,34.4,0,0,389,386,775,,,,,,,,,,,,,,,,,,
Pemagatshel,Chhimoong,12.1,0,0,288,276,564,,,,,,,,,,,,,,,,,,
